SERVICE_RH;ID_NAT_FRT;CLE_FRT_MINI;SURFACE_CADASTRALE;DOMANIAL;CADRE_LEGAL_GESTION;DATE_EXPIRATION_CONTRAT;CODE_CHORUS;CLASSEMENT_AGRICOLE;TYPE_COPROPRIETE;PROPRIO_CATEGORIE;PROPRIO_CCLIENT;PROPRIO_MOT_DIR;LIBELLE_ARTICLE;LIBELLE_STRICT;LIBELLE_USAGE;REPRESENTANT_CATEGORIE;REPRESENTANT_CCLIENT;REPRESENTANT_MOT_DIR;REPRESENTANT_COMMENTAIRE;REPRESENTANT_LIB;REPRESENTANT_CP;REPRESENTANT_COMMUNE;REGROUPEMENT_ID_NAT_FRT;REGROUPEMENT_LIBELLE;FORET_COMMENTAIRE;DEPARTEMENT_MAJORITAIRE;DATE_DEBUT_VALIDITE;DATE_FIN_VALIDITE
8015;F08846F;26COMMUN;9998,5214;NON;RF;;;MONTAGNE;I;21;2,16701E+13;CFODAMBACH;des;26 communes;Forêt communale indivise des 26 Communes;42;2,56702E+13;SYC26CNES;;SYND, INTERCOMMUNAL FORESTIER 26 COMMUNES;67680;EPFIG;;;;67;01/01/1964;31/12/9999
8015;F08281M;ALBE;368,4464;NON;RF;;;MONTAGNE;X;21;2,167E+13;CFOALBE;d';albé;Forêt communale d'Albé;2;2,167E+13;CFOALBE;;COMMUNE D'ALBE ;67220;ALBE;;;;67;01/01/1964;31/12/9999
8015;F08595O;ALLENWIL;276,9883;NON;RF;;;PLAINE;X;21;2,00057E+13;CFONSOMMER;d';allenwiller;Forêt communale d'Allenwiller;;2,00057E+13;CFONSOMMER;Changement de propriétaire et de représentant suite à la création de la nouvelle commune de Sommerau (fusion des communes d'Allenwiler,Salenthal, Singrist et Birkenwald);COMMUNE DE SOMMERAU ;67310;SOMMERAU;;;,,;67;01/01/1964;31/12/9999
8015;F08967W;ALTORF;93,2002;NON;RF;;;PLAINE;X;21;2,167E+13;CFOALTORF;d';altorf;Forêt communale d'Altorf;2;2,167E+13;CFOALTORF;;COMMUNE d'ALTORF ;67120;ALTORF;;;;67;01/01/1964;31/12/9999
8015;F08256N;ANDLAU;166,8304;NON;RF;;;PLAINE;X;21;2,167E+13;CFOANDLAU;d';andlau;Forêt communale d'Andlau;2;2,167E+13;CFOANDLAU;;COMMUNE d'ANDLAU ;67140;ANDLAU;;;;67;01/01/1964;31/12/9999
8015;F08744H;BALBRONN;116,4661;NON;RF;;;PLAINE;X;21;2,167E+13;CFOBALBRON;de;balbronn;Forêt communale de Balbronn;2;2,167E+13;CFOBALBRON;;COMMUNE de BALBRONN ;67310;BALBRONN;;;;67;01/01/1964;31/12/9999
8015;F08411M;BAREMBA;719,9005;NON;RF;;;MONTAGNE;X;21;2,167E+13;CFOBAREMBA;de;barembach;Forêt communale de Barembach;2;2,167E+13;CFOBAREMBA;;COMMUNE de BAREMBACH ;67130;BAREMBACH;;;;67;01/01/1964;31/12/9999
8015;F08861U;BARR;26,645;NON;RF;;;PLAINE;X;21;2,167E+13;CFOBARR;de;barr;Forêt communale de Barr;2;2,167E+13;CFOBARR;;COMMUNE de BARR ;67140;BARR;;;;67;01/01/1964;31/12/9999
8015;F08314T;BARR4AC;1347,2338;NON;RF;;;PLAINE;I;21;2,167E+13;CFOBARR;de;barr et 4 autres communes;Forêt communale indivise de Barr Et 4 Autres Communes;42;2,567E+13;SYCBARR4;;SYNDICAT FORESTIER BARR 4AC ;67140;BARR;;;;67;01/01/1964;31/12/9999
8015;F08293Y;BARR6AC;643,6611;NON;RF;;;PLAINE;I;21;2,16702E+13;CFOGERTWIL;de;barr et 6 autres communes;Forêt communale indivise de Barr Et 6 Autres Communes;42;2,567E+13;SYCBARR6;;SYNDICAT FORESTIER BARR 6AC ;67140;BARR;;;;67;01/01/1964;31/12/9999
8015;F08650R;BASSEMBE;38,0251;NON;RF;;;MONTAGNE;X;21;2,167E+13;CFOBASSEMB;de;bassemberg;Forêt communale de Bassemberg;2;2,167E+13;CFOBASSEMB;;COMMUNE de BASSEMBERG ;67220;BASSEMBERG;;;;67;01/01/1964;31/12/9999
8015;F08412N;BELLEFOS;98,8136;NON;RF;;;MONTAGNE;X;21;2,167E+13;CFO67130BE;de;bellefosse;Forêt communale de Bellefosse;2;2,167E+13;CFO67130BE;;COMMUNE de BELLEFOSSE ;67130;BELLEFOSSE;;;;67;01/01/1964;31/12/9999
8015;F08331K;BELMONT;105,1839;NON;RF;;;MONTAGNE;X;21;2,167E+13;CFO67130;de;belmont;Forêt communale de Belmont;2;2,167E+13;CFO67130;;COMMUNE de BELMONT ;67130;BELMONT;;;;67;01/01/1964;31/12/9999
8015;F08260R;BERNARDV;22,2034;NON;RF;;;PLAINE;X;21;2,167E+13;CFOBERNARV;de;bernardvillé;Forêt communale de Bernardvillé;2;2,167E+13;CFOBERNARV;;COMMUNE de BERNARDVILLE ;67140;BERNARDVILLE;;;;67;01/01/1964;31/12/9999
8015;F08527Y;BISCHOFF;1210,9142;NON;RF;;;PLAINE;X;21;2,167E+13;CFOBISCHOF;de;bischoffsheim;Forêt communale de Bischoffsheim;2;2,167E+13;CFOBISCHOF;;COMMUNE de BISCHOFFSHEIM ;67870;BISCHOFFSHEIM;;;;67;01/01/1964;31/12/9999
8015;F08436L;BLANCHER;93,3471;NON;RF;;;MONTAGNE;X;21;2,16701E+13;CFO67130BL;de;blancherupt;Forêt communale de Blancherupt;2;2,16701E+13;CFO67130BL;;COMMUNE de BLANCHERUPT ;67130;BLANCHERUPT;;;;67;01/01/1964;31/12/9999
8015;F08603W;BLIENSCH;99,655;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOBLIENSC;de;blienschwiller;Forêt communale de Blienschwiller;2;2,16701E+13;CFOBLIENSC;;COMMUNE de BLIENSCHWILLER ;67650;BLIENSCHWILLER;;;;67;01/01/1964;31/12/9999
8015;F08466P;BOERSCH;585,1789;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOBOERSCH;de;boersch;Forêt communale de Boersch;2;2,16701E+13;CFOBOERSCH;;COMMUNE de BOERSCH ;67530;BOERSCH;;;;67;01/01/1964;31/12/9999
8015;F08691G;BOURGBR;454,2335;NON;RF;;;MONTAGNE;X;21;2,16701E+13;CFOBOURGBR;de;bourg-bruche;Forêt communale de Bourg-Bruche;2;2,16701E+13;CFOBOURGBR;;COMMUNE de BOURG-BRUCHE ;67420;BOURG BRUCHE;;;;67;01/01/1964;31/12/9999
8015;F08722L;BREITENA;108,6736;NON;RF;;;MONTAGNE;X;21;2,16701E+13;CFOBREITEN;de;breitenau;Forêt communale de Breitenau;2;2,16701E+13;CFOBREITEN;;COMMUNE de BREITENAU ;67220;BREITENAU;;;;67;01/01/1964;31/12/9999
8015;F08862V;BREITENS;749,179;NON;RF;;;MONTAGNE;X;21;2,16701E+13;CFOBREITEB;de;breitenbach 67;Forêt communale de Breitenbach 67;;2,16701E+13;CFOBREITEB;;COMMUNE de BREITENBACH ;67220;BREITENBACH;;;;67;01/01/1964;31/12/9999
8015;F08887U;COLROY;378,3903;NON;RF;;;MONTAGNE;X;21;2,16701E+13;CFO67420CO;de;colroy-la-roche;Forêt communale de Colroy-La-Roche;2;2,16701E+13;CFO67420CO;;COMMUNE de COLROY LA ROCHE ;67420;COLROY LA ROCHE;;;;67;01/01/1964;31/12/9999
8015;F08730T;COSTNABO;29,24;NON;RF;;;PLAINE;X;21;2,16704E+13;CFO67530SA;de;saint-nabor;Forêt communale de Saint-Nabor;2;2,16704E+13;CFO67530SA;;COMMUNE de SAINT-NABOR ;67530;SAINT-NABOR;;;;67;01/01/1964;31/12/9999
8015;F08430F;DAMBACMO;720,1234;NON;RF;;;PLAINE;X;21;2,16701E+13;CFODAMBACL;de;dambach-la-ville montagne;Forêt communale de Dambach-La-Ville Montagne;2;2,16701E+13;CFODAMBACL;;COMMUNE de DAMBACH-LA-VILLE ;67650;DAMBACH-LA-VILLE;;;;67;01/01/1964;31/12/9999
8015;F08641I;DAMBACPL;206,3447;NON;RF;;;PLAINE;X;21;2,16701E+13;CFODAMBACL;de;dambach-la-ville plaine;Forêt communale de Dambach-La-Ville Plaine;2;2,16701E+13;CFODAMBACL;;COMMUNE de DAMBACH-LA-VILLE ;67650;DAMBACH-LA-VILLE;;;;67;01/01/1964;31/12/9999
8015;F08271C;DANDLAUL;310,1751;OUI;RF;;172893/343681;;X;1;1,1007E+13;MINAGRI;d';andlau-lilsbach;Forêt domaniale d'Andlau-Lilsbach;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
8015;F08322B;DANGOLS;19,5024;NON;RF;;;PLAINE;X;21;2,16701E+13;CFODANGOLS;de;dangolsheim;Forêt communale de Dangolsheim;2;2,16701E+13;CFODANGOLS;;COMMUNE de DANGOLSHEIM ;67310;DANGOLSHEIM;;;;67;01/01/1964;31/12/9999
8015;F08837W;DBERNSTE;209,0255;OUI;RF;;172979/344417;;X;1;1,1007E+13;MINAGRI;de;bernstein;Forêt domaniale de Bernstein;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
8015;F08700P;DFOUCHYU;92,9118;OUI;RF;;172780/344461;;X;1;1,1007E+13;MINAGRI;de;fouchy-urbeis;Forêt domaniale de Fouchy-Urbeis;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
